,image_name,width,height,x0,y0,x1,y1,is_valid,box_area,resolution,label,face_count
0,00001722.jpg,1333,2000,490,320,687,664,True,67768,"(1333, 2000)",1.0,1
1,00001044.jpg,2000,1333,791,119,1200,436,True,129653,"(2000, 1333)",1.0,1
2,00001050.jpg,667,1000,304,155,407,331,True,18128,"(667, 1000)",1.0,1
3,00001736.jpg,626,417,147,14,519,303,True,107508,"(626, 417)",1.0,1
4,00003121.jpg,626,418,462,60,599,166,True,14522,"(626, 418)",1.0,1
9,00000400.jpg,600,400,148,61,377,242,True,41449,"(600, 400)",1.0,1
10,00002571.jpg,960,720,117,159,317,334,True,35000,"(960, 720)",1.0,1
12,00000366.jpg,900,601,170,88,506,350,True,88032,"(900, 601)",1.0,1
14,00002565.jpg,1267,712,241,40,963,513,True,341506,"(1267, 712)",1.0,1
15,00001939.jpg,612,424,195,57,383,209,True,28576,"(612, 424)",1.0,1
16,00001087.jpg,1024,683,405,27,614,189,True,33858,"(1024, 683)",1.0,1
17,00001093.jpg,821,1300,290,28,392,211,True,18666,"(821, 1300)",1.0,1
18,00001905.jpg,612,408,137,20,394,224,True,52428,"(612, 408)",1.0,1
19,00001911.jpg,792,463,317,187,442,272,True,10625,"(792, 463)",1.0,1
22,00002997.jpg,882,588,269,245,363,318,True,6862,"(882, 588)",1.0,1
25,00003451.jpg,236,354,87,46,131,121,True,3300,"(236, 354)",1.0,1
26,00001246.jpg,600,419,210,32,361,158,True,19026,"(600, 419)",1.0,1
27,00001520.jpg,1098,732,684,251,987,486,True,71205,"(1098, 732)",1.0,1
32,00002029.jpg,345,520,149,66,207,167,True,5858,"(345, 520)",1.0,1
33,00003337.jpg,500,500,173,8,252,100,True,7268,"(500, 500)",1.0,1
36,00003323.jpg,408,612,170,77,247,208,True,10087,"(408, 612)",1.0,1
37,00001252.jpg,343,280,144,31,211,94,True,4221,"(343, 280)",1.0,1
38,00002983.jpg,1200,939,435,149,553,254,True,12390,"(1200, 939)",1.0,1
40,00003445.jpg,236,314,44,21,95,97,True,3876,"(236, 314)",1.0,1
41,00002015.jpg,684,1024,147,71,528,720,True,247269,"(684, 1024)",1.0,1
42,00000602.jpg,1300,956,368,184,622,402,True,55372,"(1300, 956)",1.0,1
47,00000616.jpg,910,607,458,373,644,514,True,26226,"(910, 607)",1.0,1
48,00002001.jpg,1500,1120,564,1,960,328,True,129492,"(1500, 1120)",1.0,1
49,00002767.jpg,900,600,240,36,864,531,True,308880,"(900, 600)",1.0,1
50,00000170.jpg,626,418,299,72,368,127,True,3795,"(626, 418)",1.0,1
54,00002954.jpg,866,1300,166,448,355,778,True,62370,"(866, 1300)",1.0,1
57,00003492.jpg,236,354,101,26,145,103,True,3388,"(236, 354)",1.0,1
58,00000825.jpg,367,550,161,32,236,163,True,9825,"(367, 550)",1.0,1
59,00000831.jpg,800,450,154,7,685,362,True,188505,"(800, 450)",0.0,0
60,00002798.jpg,1000,667,106,332,264,454,True,19276,"(1000, 667)",1.0,1
65,00002940.jpg,1062,1092,386,360,481,474,True,10830,"(1062, 1092)",1.0,1
67,00003486.jpg,236,157,64,24,169,106,True,8610,"(236, 157)",1.0,1
